"spp","1","2","3","4","5","6","7","8"
"Ctenotus_pantherinus","1",NA,"1","1","1","1","1",NA
"Ctenotus_piankai",NA,NA,NA,"1","1",NA,"1",NA
"Ctenotus_pulchellus",NA,NA,"1",NA,NA,NA,"1",NA
"Ctenotus_quattuordecimlineatus",NA,NA,NA,"1","1",NA,"1",NA
"Ctenotus_quirinus",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_regius","1","1","1","1","1",NA,"1",NA
"Ctenotus_rimacolus",NA,NA,NA,NA,"1",NA,"1",NA
"Ctenotus_robustus","1","1","1","1","1",NA,"1","1"
"Ctenotus_saxatilis",NA,NA,"1","1","1",NA,"1",NA
"Ctenotus_schevilli",NA,NA,"1",NA,NA,NA,NA,NA
"Ctenotus_schomburgkii","1","1","1","1","1",NA,"1",NA
"Ctenotus_septenarius",NA,NA,"1","1","1",NA,"1",NA
"Ctenotus_severus",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_spaldingi",NA,NA,"1",NA,NA,NA,"1",NA
"Ctenotus_storri",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_strauchii","1",NA,"1","1",NA,NA,"1",NA
"Ctenotus_striaticeps",NA,NA,"1",NA,NA,NA,"1",NA
"Ctenotus_stuarti",NA,NA,NA,NA,NA,NA,"1",NA
"Ctenotus_taeniatus",NA,"1","1","1",NA,NA,"1",NA
"Ctenotus_taeniolatus","1","1","1",NA,NA,NA,NA,"1"
"Ctenotus_tanamiensis",NA,NA,NA,NA,"1",NA,"1",NA
"Ctenotus_tantillus",NA,NA,NA,NA,"1",NA,"1",NA
"Ctenotus_uber",NA,NA,NA,NA,"1",NA,NA,NA
"Ctenotus_vertebralis",NA,NA,NA,NA,NA,NA,"1",NA
"Cyrtodactylus_tuberculatus",NA,NA,"1",NA,NA,NA,NA,NA
"Delma_australis","1","1",NA,"1","1",NA,"1",NA
"Delma_borea",NA,NA,"1","1","1",NA,"1",NA
"Delma_butleri","1","1","1","1","1",NA,"1",NA
"Delma_fraseri",NA,NA,NA,NA,"1",NA,NA,NA
"Delma_haroldi",NA,NA,NA,NA,"1",NA,"1",NA
"Delma_impar","1","1",NA,"1",NA,NA,NA,"1"
"Delma_inornata","1","1","1","1",NA,NA,NA,"1"
"Delma_molleri",NA,NA,NA,"1",NA,NA,NA,NA
"Delma_nasuta","1",NA,"1","1","1",NA,"1",NA
"Delma_petersoni",NA,NA,NA,"1","1",NA,NA,NA
"Delma_plebeia","1",NA,"1",NA,NA,NA,NA,NA
"Delma_tincta","1",NA,"1","1","1",NA,"1",NA
"Delma_torquata",NA,NA,"1",NA,NA,NA,NA,NA
"Demansia_atra",NA,NA,"1",NA,"1",NA,"1",NA
"Demansia_olivacea",NA,NA,NA,NA,"1",NA,"1",NA
"Demansia_papuensis",NA,NA,"1",NA,"1",NA,"1",NA
"Demansia_psammophis","1","1","1","1","1",NA,"1",NA
"Demansia_quaesitor",NA,NA,"1",NA,"1",NA,"1",NA
"Demansia_rimicola","1",NA,"1","1","1",NA,"1",NA
"Demansia_simplex",NA,NA,NA,NA,"1",NA,"1",NA
"Demansia_torquata",NA,NA,"1",NA,NA,NA,NA,NA
"Demansia_vestigiata",NA,NA,"1",NA,"1",NA,"1",NA
"Dendrelaphis_calligastra",NA,NA,"1",NA,NA,NA,NA,NA
"Dendrelaphis_punctulatus","1",NA,"1",NA,"1",NA,"1",NA
"Denisonia_devisi","1",NA,"1",NA,NA,NA,NA,NA
"Denisonia_maculata",NA,NA,"1",NA,NA,NA,NA,NA
"Diplodactylus_calcicolus",NA,NA,NA,"1","1",NA,NA,NA
"Diplodactylus_conspicillatus","1",NA,"1","1","1",NA,"1",NA
"Diplodactylus_damaeum","1","1","1","1","1",NA,"1",NA
"Diplodactylus_furcosus","1",NA,NA,"1",NA,NA,NA,NA
"Diplodactylus_galeatus",NA,NA,NA,"1",NA,NA,"1",NA
"Diplodactylus_granariensis",NA,NA,NA,NA,"1",NA,NA,NA
"Diplodactylus_pulcher",NA,NA,NA,"1","1",NA,NA,NA
"Diplodactylus_tessellatus","1","1","1","1","1",NA,"1",NA
"Diplodactylus_vittatus","1","1","1","1",NA,NA,NA,"1"
"Diplodactylus_wiru",NA,NA,NA,"1",NA,NA,NA,NA
"Diporiphora_albilabris",NA,NA,NA,NA,"1",NA,"1",NA
"Diporiphora_arnhemica",NA,NA,NA,NA,"1",NA,"1",NA
"Diporiphora_australis","1",NA,"1",NA,NA,NA,NA,NA
"Diporiphora_bennettii",NA,NA,NA,NA,"1",NA,"1",NA
"Diporiphora_bilineata",NA,NA,"1",NA,NA,NA,"1",NA
"Diporiphora_lalliae",NA,NA,"1",NA,"1",NA,"1",NA
"Diporiphora_linga",NA,NA,NA,"1","1",NA,NA,NA
"Diporiphora_magna",NA,NA,"1",NA,"1",NA,"1",NA
"Diporiphora_pindan",NA,NA,NA,NA,"1",NA,NA,NA
"Diporiphora_reginae",NA,NA,NA,"1","1",NA,NA,NA
"Diporiphora_winneckei",NA,NA,"1","1","1",NA,"1",NA
"Drysdalia_coronata",NA,NA,NA,NA,"1",NA,NA,NA
"Drysdalia_coronoides","1","1",NA,"1",NA,"1",NA,"1"
"Drysdalia_mastersii",NA,"1",NA,"1","1",NA,NA,NA
"Drysdalia_rhodogaster","1",NA,NA,NA,NA,NA,NA,NA
"Echiopsis_curta","1","1",NA,"1","1",NA,NA,NA
"Egernia_cunninghami","1","1","1","1",NA,NA,NA,"1"
"Egernia_depressa",NA,NA,NA,NA,"1",NA,NA,NA
"Egernia_formosa",NA,NA,NA,NA,"1",NA,NA,NA
"Egernia_hosmeri",NA,NA,"1",NA,NA,NA,"1",NA
"Egernia_kingii",NA,NA,NA,NA,"1",NA,NA,NA
"Egernia_major","1",NA,"1",NA,NA,NA,NA,NA
"Egernia_mcpheei","1",NA,"1",NA,NA,NA,NA,NA
"Egernia_modesta","1",NA,"1",NA,NA,NA,NA,NA
"Egernia_napoleonis",NA,NA,NA,NA,"1",NA,NA,NA
"Egernia_richardi",NA,NA,NA,"1","1",NA,NA,NA
"Egernia_saxatilis","1","1",NA,NA,NA,NA,NA,"1"
"Egernia_stokesii","1",NA,"1","1","1",NA,"1",NA
"Egernia_striolata","1","1","1","1",NA,NA,NA,NA
"Egernia_whitii","1","1","1","1",NA,"1",NA,"1"
"Emoia_atrocostata",NA,NA,"1",NA,NA,NA,NA,NA
"Emoia_longicauda",NA,NA,"1",NA,NA,NA,NA,NA
"Eremiascincus_fasciolatus","1","1","1","1","1",NA,"1",NA
"Eremiascincus_richardsonii","1",NA,"1","1","1",NA,"1",NA
"Eulamprus_brachysoma","1",NA,"1",NA,NA,NA,NA,NA
"Eulamprus_heatwolei","1","1",NA,"1",NA,NA,NA,"1"
"Eulamprus_kosciuskoi","1","1",NA,NA,NA,NA,NA,"1"
"Eulamprus_leuraensis","1",NA,NA,NA,NA,NA,NA,NA
"Eulamprus_martini","1",NA,"1",NA,NA,NA,NA,NA
"Eulamprus_murrayi","1",NA,"1",NA,NA,NA,NA,NA
"Eulamprus_quoyii","1","1","1","1",NA,NA,NA,NA
"Eulamprus_tenuis","1",NA,"1",NA,NA,NA,NA,NA
"Eulamprus_tryoni","1",NA,"1",NA,NA,NA,NA,NA
"Eulamprus_tympanum","1","1",NA,"1",NA,NA,NA,"1"
"Furina_diadema","1",NA,"1","1",NA,NA,NA,NA
"Furina_ornata",NA,NA,"1","1","1",NA,"1",NA
"Furina_tristis",NA,NA,"1",NA,NA,NA,NA,NA
"Gehyra_australis",NA,NA,"1",NA,"1",NA,"1",NA
"Gehyra_borroloola",NA,NA,"1",NA,NA,NA,"1",NA
