"spp","1","2","3","4","5","6","7","8"
"Pseudomys_apodemoides",NA,"1",NA,"1",NA,NA,NA,NA
"Pseudomys_australis","1",NA,NA,"1",NA,NA,"1",NA
"Pseudomys_bolami","1",NA,NA,"1","1",NA,NA,NA
"Pseudomys_calabyi",NA,NA,NA,NA,NA,NA,"1",NA
"Pseudomys_delicatulus",NA,NA,"1",NA,"1",NA,"1",NA
"Pseudomys_desertor",NA,NA,NA,"1","1",NA,"1",NA
"Pseudomys_fumeus","1","1",NA,NA,NA,NA,NA,"1"
"Pseudomys_fuscus","1","1",NA,NA,NA,"1",NA,NA
"Pseudomys_gracilicaudatus","1",NA,"1",NA,NA,NA,"1",NA
"Pseudomys_hermannsburgensis","1","1","1","1","1",NA,"1",NA
"Pseudomys_higginsi",NA,NA,NA,NA,NA,"1",NA,NA
"Pseudomys_johnsoni",NA,NA,NA,NA,NA,NA,"1",NA
"Pseudomys_nanus",NA,NA,NA,NA,"1",NA,"1",NA
"Pseudomys_novaehollandiae","1","1",NA,NA,NA,"1",NA,NA
"Pseudomys_occidentalis",NA,NA,NA,NA,"1",NA,NA,NA
"Pseudomys_oralis","1",NA,"1",NA,NA,NA,NA,NA
"Pseudomys_pilligaensis","1",NA,NA,NA,NA,NA,NA,NA
"Pseudomys_shortridgei",NA,"1",NA,"1","1",NA,NA,NA
"Pteropus_alecto","1",NA,"1",NA,"1",NA,"1",NA
"Pteropus_conspicillatus",NA,NA,"1",NA,NA,NA,NA,NA
"Pteropus_poliocephalus","1","1","1","1",NA,"1",NA,"1"
"Pteropus_scapulatus","1","1","1","1","1",NA,"1","1"
"Rattus_colletti",NA,NA,NA,NA,NA,NA,"1",NA
"Rattus_fuscipes","1","1","1","1","1","1",NA,"1"
"Rattus_leucopus",NA,NA,"1",NA,NA,NA,NA,NA
"Rattus_lutreolus","1","1","1","1",NA,"1",NA,NA
"Rattus_sordidus",NA,NA,"1",NA,NA,NA,NA,NA
"Rattus_tunneyi",NA,NA,"1",NA,"1",NA,"1",NA
"Rattus_villosissimus","1",NA,"1","1","1",NA,"1",NA
"Rhinolophus_megaphyllus","1","1","1",NA,NA,NA,NA,"1"
"Rhinolophus_philippinensis",NA,NA,"1",NA,NA,NA,NA,NA
"Rhinonicteris_aurantia",NA,NA,NA,NA,"1",NA,"1",NA
"Saccolaimus_flaviventris","1","1","1","1","1",NA,"1","1"
"Sarcophilus_harrisii",NA,NA,NA,NA,NA,"1",NA,NA
"Scoteanax_rueppellii","1","1","1",NA,NA,NA,NA,NA
"Scotorepens_balstoni","1","1","1","1","1",NA,"1",NA
"Scotorepens_greyii","1","1","1","1","1",NA,"1",NA
"Scotorepens_orion","1","1","1",NA,NA,NA,NA,NA
"Scotorepens_sanborni",NA,NA,"1",NA,"1",NA,"1",NA
"Setonix_brachyurus",NA,NA,NA,NA,"1",NA,NA,NA
"Sminthopsis_aitkeni",NA,NA,NA,"1",NA,NA,NA,NA
