"spp","1","2","3","4","5","6","7","8"
"Litoria_rheocola",NA,NA,"1",NA,NA,NA,NA,NA
"Litoria_rothii",NA,NA,"1",NA,"1",NA,"1",NA
"Litoria_rubella","1",NA,"1","1","1",NA,"1",NA
"Litoria_spenceri","1","1",NA,NA,NA,NA,NA,NA
"Litoria_splendida",NA,NA,NA,NA,"1",NA,"1",NA
"Litoria_subglandulosa","1",NA,NA,NA,NA,NA,NA,NA
"Litoria_tornieri",NA,NA,NA,NA,"1",NA,"1",NA
"Litoria_tyleri","1","1","1",NA,NA,NA,NA,NA
"Litoria_verreauxii","1","1","1",NA,NA,"1",NA,"1"
"Litoria_watjulumensis",NA,NA,"1",NA,"1",NA,"1",NA
"Litoria_wilcoxii","1",NA,"1",NA,NA,NA,NA,NA
"Litoria_xanthomera",NA,NA,"1",NA,NA,NA,NA,NA
"Mixophyes_balbus","1","1",NA,NA,NA,NA,NA,NA
"Mixophyes_fasciolatus","1",NA,"1",NA,NA,NA,NA,NA
"Mixophyes_fleayi","1",NA,"1",NA,NA,NA,NA,NA
"Mixophyes_iteratus","1",NA,"1",NA,NA,NA,NA,NA
"Mixophyes_schevilli",NA,NA,"1",NA,NA,NA,NA,NA
"Neobatrachus_albipes",NA,NA,NA,NA,"1",NA,NA,NA
"Neobatrachus_aquilonius",NA,NA,NA,NA,"1",NA,"1",NA
"Neobatrachus_centralis","1","1","1","1","1",NA,"1",NA
"Neobatrachus_kunapalari",NA,NA,NA,NA,"1",NA,NA,NA
"Neobatrachus_pelobatoides",NA,NA,NA,NA,"1",NA,NA,NA
"Neobatrachus_pictus","1","1",NA,"1",NA,NA,NA,NA
"Neobatrachus_sudelli","1","1","1","1",NA,NA,NA,NA
"Neobatrachus_sutor",NA,NA,NA,"1","1",NA,"1",NA
"Notaden_bennettii","1",NA,"1",NA,NA,NA,NA,NA
"Notaden_melanoscaphus",NA,NA,"1",NA,"1",NA,"1",NA
"Notaden_nichollsi",NA,NA,"1","1","1",NA,"1",NA
"Nyctimystes_dayi",NA,NA,"1",NA,NA,NA,NA,NA
"Philoria_frosti",NA,"1",NA,NA,NA,NA,NA,NA
"Philoria_kundagungan","1",NA,"1",NA,NA,NA,NA,NA
"Philoria_loveridgei","1",NA,"1",NA,NA,NA,NA,NA
"Philoria_pughi","1",NA,NA,NA,NA,NA,NA,NA
"Philoria_richmondensis","1",NA,NA,NA,NA,NA,NA,NA
"Philoria_sphagnicolus","1",NA,NA,NA,NA,NA,NA,NA
"Pseudophryne_australis","1",NA,NA,NA,NA,NA,NA,NA
"Pseudophryne_bibronii","1","1",NA,"1",NA,NA,NA,"1"
"Pseudophryne_coriacea","1",NA,"1",NA,NA,NA,NA,NA
"Pseudophryne_corroboree","1",NA,NA,NA,NA,NA,NA,"1"
"Pseudophryne_dendyi","1","1",NA,NA,NA,NA,NA,NA
"Pseudophryne_guentheri",NA,NA,NA,NA,"1",NA,NA,NA
"Pseudophryne_major",NA,NA,"1",NA,NA,NA,NA,NA
"Pseudophryne_occidentalis",NA,NA,NA,NA,"1",NA,NA,NA
"Pseudophryne_pengilleyi","1",NA,NA,NA,NA,NA,NA,"1"
"Pseudophryne_semimarmorata",NA,"1",NA,"1",NA,"1",NA,NA
"Rana_daemeli",NA,NA,"1",NA,NA,NA,"1",NA
"Rheobatrachus_silus",NA,NA,"1",NA,NA,NA,NA,NA
"Rhinella_marina","1",NA,"1",NA,NA,NA,"1",NA
"Taudactylus_acutirostris",NA,NA,"1",NA,NA,NA,NA,NA
"Taudactylus_diurnus",NA,NA,"1",NA,NA,NA,NA,NA
"Taudactylus_eungellensis",NA,NA,"1",NA,NA,NA,NA,NA
"Taudactylus_rheophilus",NA,NA,"1",NA,NA,NA,NA,NA
"Uperoleia_altissima",NA,NA,"1",NA,NA,NA,NA,NA
"Uperoleia_arenicola",NA,NA,NA,NA,NA,NA,"1",NA
"Uperoleia_borealis",NA,NA,NA,NA,"1",NA,"1",NA
"Uperoleia_capitulata","1",NA,"1",NA,NA,NA,NA,NA
"Uperoleia_daviesae",NA,NA,NA,NA,NA,NA,"1",NA
"Uperoleia_fusca","1",NA,"1",NA,NA,NA,NA,NA
"Uperoleia_inundata",NA,NA,NA,NA,NA,NA,"1",NA
"Uperoleia_laevigata","1","1","1",NA,NA,NA,NA,"1"
"Uperoleia_lithomoda",NA,NA,"1",NA,"1",NA,"1",NA
"Uperoleia_littlejohni",NA,NA,"1",NA,NA,NA,NA,NA
"Uperoleia_martini",NA,"1",NA,NA,NA,NA,NA,NA
"Uperoleia_micromeles",NA,NA,NA,NA,"1",NA,"1",NA
"Uperoleia_mimula",NA,NA,"1",NA,NA,NA,NA,NA
"Uperoleia_mjobergii",NA,NA,NA,NA,"1",NA,NA,NA
"Uperoleia_orientalis",NA,NA,NA,NA,NA,NA,"1",NA
"Uperoleia_rugosa","1","1","1",NA,NA,NA,NA,NA
"Uperoleia_trachyderma",NA,NA,"1",NA,"1",NA,"1",NA
"Uperoleia_tyleri","1","1",NA,NA,NA,NA,NA,NA
