"spp","1","2","3","4","5","6","7","8"
"Gerygone_levigaster","1",NA,"1",NA,"1",NA,"1",NA
"Gerygone_magnirostris",NA,NA,"1",NA,"1",NA,"1",NA
"Gerygone_mouki","1","1","1",NA,NA,NA,NA,NA
"Gerygone_olivacea","1","1","1","1","1",NA,"1","1"
"Gerygone_palpebrosa",NA,NA,"1",NA,NA,NA,NA,NA
"Gerygone_tenebrosa",NA,NA,NA,NA,"1",NA,NA,NA
"Glareola_maldivarum",NA,NA,"1",NA,"1",NA,"1",NA
"Gliciphila_melanops","1","1",NA,"1","1","1",NA,NA
"Glossopsitta_concinna","1","1","1","1",NA,"1",NA,NA
"Glossopsitta_porphyrocephala","1","1",NA,"1","1",NA,NA,NA
"Glossopsitta_pusilla","1","1","1",NA,NA,NA,NA,"1"
"Grallina_cyanoleuca","1","1","1","1","1",NA,"1","1"
"Grantiella_picta","1","1","1",NA,NA,NA,"1","1"
"Grus_antigone",NA,NA,"1",NA,NA,NA,NA,NA
"Grus_rubicunda","1","1","1","1","1",NA,"1",NA
"Gygis_alba","1",NA,"1",NA,NA,NA,NA,NA
"Haematopus_fuliginosus","1","1","1","1","1","1","1",NA
"Haematopus_longirostris","1","1","1","1","1","1","1","1"
"Haliaeetus_leucogaster","1","1","1","1","1","1","1","1"
"Haliastur_indus","1",NA,"1",NA,"1",NA,"1",NA
"Haliastur_sphenurus","1","1","1","1","1","1","1","1"
"Halobaena_caerulea","1","1",NA,"1","1","1",NA,NA
"Hamirostra_melanosternon","1",NA,"1","1","1",NA,"1",NA
"Heteromunia_pectoralis",NA,NA,"1",NA,"1",NA,"1",NA
"Heteromyias_albispecularis",NA,NA,"1",NA,NA,NA,NA,NA
"Heteromyias_cinereifrons",NA,"1","1","1",NA,NA,NA,NA
"Hieraaetus_morphnoides","1","1","1","1","1",NA,"1","1"
"Himantopus_himantopus","1","1","1","1","1",NA,"1","1"
"Hirundapus_caudacutus","1","1","1","1",NA,"1",NA,"1"
"Hirundo_ariel","1","1","1","1","1",NA,"1",NA
"Hirundo_neoxena","1","1","1","1","1","1","1","1"
"Hydrobates_matsudairae",NA,NA,NA,NA,NA,NA,"1",NA
"Hydroprogne_caspia","1","1","1","1","1","1","1","1"
"Hylacola_cautus","1","1",NA,"1","1",NA,NA,NA
"Hylacola_pyrrhopygia","1","1","1","1",NA,NA,NA,"1"
"Irediparra_gallinacea","1",NA,"1",NA,"1",NA,"1",NA
"Ixobrychus_dubius","1","1","1","1","1",NA,"1","1"
"Ixobrychus_flavicollis","1",NA,"1",NA,"1",NA,"1",NA
"Ixobrychus_minutus","1","1",NA,"1","1",NA,NA,"1"
"Lalage_leucomela","1",NA,"1",NA,"1",NA,"1",NA
"Lalage_sueurii","1","1","1","1","1","1","1","1"
"Lalage_tricolor","1","1","1","1","1",NA,"1","1"
"Larus_dominicanus","1","1","1","1","1","1",NA,NA
"Larus_pacificus","1","1","1","1","1","1",NA,NA
"Lathamus_discolor","1","1","1",NA,NA,"1",NA,"1"
"Leipoa_ocellata","1","1",NA,"1","1",NA,NA,NA
"Leucophaeus_pipixcan","1","1","1","1","1",NA,"1",NA
"Leucosarcia_melanoleuca","1","1","1",NA,NA,NA,NA,"1"
"Lewinia_pectoralis","1","1","1","1",NA,"1",NA,"1"
"Lichenostomus_chrysops","1","1","1","1",NA,NA,NA,"1"
"Lichenostomus_cratitius","1","1",NA,"1","1",NA,NA,NA
"Lichenostomus_fasciogularis","1",NA,"1",NA,NA,NA,NA,NA
"Lichenostomus_flavescens",NA,NA,"1",NA,"1",NA,"1",NA
"Lichenostomus_flavicollis",NA,NA,NA,NA,NA,"1",NA,NA
"Lichenostomus_flavus",NA,NA,"1",NA,NA,NA,NA,NA
"Lichenostomus_frenatus",NA,NA,"1",NA,NA,NA,NA,NA
"Lichenostomus_fuscus","1","1","1",NA,NA,NA,NA,"1"
"Lichenostomus_hindwoodi",NA,NA,"1",NA,NA,NA,NA,NA
"Lichenostomus_keartlandi",NA,NA,"1","1","1",NA,"1",NA
"Lichenostomus_leucotis","1","1","1","1","1",NA,NA,"1"
"Lichenostomus_melanops","1","1","1",NA,NA,NA,NA,"1"
"Lichenostomus_ornatus","1","1",NA,"1","1",NA,NA,NA
"Lichenostomus_penicillatus","1","1","1","1","1",NA,"1","1"
"Lichenostomus_plumulus","1","1","1","1","1",NA,"1",NA
"Lichenostomus_unicolor",NA,NA,"1",NA,"1",NA,"1",NA
"Lichenostomus_versicolor",NA,NA,"1",NA,NA,NA,NA,NA
"Lichenostomus_virescens","1","1","1","1","1",NA,"1",NA
"Lichmera_indistincta","1",NA,"1","1","1",NA,"1",NA
"Limicola_falcinellus","1","1","1","1","1",NA,"1",NA
"Limnodromus_semipalmatus","1","1","1",NA,"1",NA,"1",NA
"Limosa_lapponica","1","1","1","1","1","1","1","1"
"Limosa_limosa","1","1","1","1","1",NA,"1",NA
"Lonchura_castaneothorax","1",NA,"1",NA,"1",NA,"1",NA
"Lonchura_flaviprymna",NA,NA,NA,NA,"1",NA,"1",NA
"Lonchura_punctulata","1","1","1","1",NA,NA,NA,"1"
"Lophochroa_leadbeateri","1","1","1","1","1",NA,"1",NA
"Lophoictinia_isura","1","1","1","1","1",NA,"1","1"
"Lopholaimus_antarcticus","1",NA,"1",NA,NA,NA,NA,NA
"Lugensa_brevirostris","1","1","1","1","1","1",NA,NA
"Machaerirhynchus_flaviventer",NA,NA,"1",NA,NA,NA,NA,NA
"Macronectes_giganteus","1","1","1","1","1","1",NA,NA
"Macronectes_halli","1","1","1","1","1","1",NA,NA
"Macropygia_amboinensis","1","1","1",NA,NA,NA,NA,NA
"Malacorhynchus_membranaceus","1","1","1","1","1",NA,"1","1"
"Malurus_amabilis",NA,NA,"1",NA,NA,NA,NA,NA
"Malurus_coronatus",NA,NA,"1",NA,"1",NA,"1",NA
"Malurus_cyaneus","1","1","1","1",NA,"1",NA,"1"
"Malurus_elegans",NA,NA,NA,NA,"1",NA,NA,NA
"Malurus_lamberti","1","1","1","1","1",NA,"1","1"
"Malurus_leucopterus","1","1","1","1","1",NA,"1",NA
"Malurus_melanocephalus","1",NA,"1",NA,"1",NA,"1",NA
"Malurus_pulcherrimus",NA,NA,NA,"1","1",NA,NA,NA
"Malurus_splendens","1","1","1","1","1",NA,"1",NA
"Manorina_flavigula","1","1","1","1","1",NA,"1",NA
"Manorina_melanocephala","1","1","1","1",NA,"1",NA,"1"
"Manorina_melanophrys","1","1","1",NA,NA,NA,NA,"1"
"Manorina_melanotis","1","1",NA,"1",NA,NA,NA,NA
"Megalurus_gramineus","1","1","1","1","1","1","1","1"
"Megalurus_timoriensis","1",NA,"1",NA,"1",NA,"1",NA
"Megapodius_reinwardt",NA,NA,"1",NA,"1",NA,"1",NA
"Melanodryas_cucullata","1","1","1","1","1",NA,"1","1"
"Melanodryas_vittata",NA,NA,NA,NA,NA,"1",NA,NA
"Meleagris_gallopavo","1",NA,"1","1",NA,"1",NA,NA
"Meliphaga_albilineata",NA,NA,NA,NA,"1",NA,"1",NA
"Meliphaga_fordiana",NA,NA,NA,NA,"1",NA,NA,NA
"Meliphaga_gracilis",NA,NA,"1",NA,NA,NA,NA,NA
"Meliphaga_lewinii","1","1","1",NA,NA,NA,NA,"1"
"Meliphaga_notata",NA,NA,"1",NA,NA,NA,NA,NA
"Melithreptus_affinis",NA,NA,NA,NA,NA,"1",NA,NA
"Melithreptus_albogularis","1",NA,"1",NA,"1",NA,"1",NA
"Melithreptus_brevirostris","1","1","1","1","1",NA,NA,"1"
"Melithreptus_gularis","1","1","1","1","1",NA,"1",NA
"Melithreptus_lunatus","1","1","1","1","1",NA,NA,"1"
