xxyy"Gallus gallus"xxyy
xxyy"Garrodia nereis"xxyy
xxyy"Gelochelidon nilotica"xxyy
xxyy"Geoffroyus geoffroyi"xxyy
xxyy"Geopelia cuneata"xxyy
xxyy"Geopelia humeralis"xxyy
xxyy"Geopelia striata"xxyy
xxyy"Geophaps plumifera"xxyy
xxyy"Geophaps scripta"xxyy
xxyy"Geophaps smithii"xxyy
xxyy"Gerygone chloronota"xxyy
xxyy"Gerygone fusca"xxyy
xxyy"Gerygone levigaster"xxyy
xxyy"Gerygone magnirostris"xxyy
xxyy"Gerygone mouki"xxyy
xxyy"Gerygone olivacea"xxyy
xxyy"Gerygone palpebrosa"xxyy
xxyy"Gerygone tenebrosa"xxyy
xxyy"Glareola maldivarum"xxyy
xxyy"Gliciphila melanops"xxyy
xxyy"Glossopsitta concinna"xxyy
xxyy"Glossopsitta porphyrocephala"xxyy
xxyy"Glossopsitta pusilla"xxyy
xxyy"Grallina cyanoleuca"xxyy
xxyy"Grantiella picta"xxyy
xxyy"Grus antigone"xxyy
xxyy"Grus rubicunda"xxyy
xxyy"Gygis alba"xxyy
xxyy"Haematopus fuliginosus"xxyy
xxyy"Haematopus longirostris"xxyy
xxyy"Haliaeetus leucogaster"xxyy
xxyy"Haliastur indus"xxyy
xxyy"Haliastur sphenurus"xxyy
xxyy"Halobaena caerulea"xxyy
xxyy"Hamirostra melanosternon"xxyy
xxyy"Heteromunia pectoralis"xxyy
xxyy"Heteromyias albispecularis"xxyy
xxyy"Heteromyias cinereifrons"xxyy
xxyy"Hieraaetus morphnoides"xxyy
xxyy"Himantopus himantopus"xxyy
xxyy"Hirundapus caudacutus"xxyy
xxyy"Hirundo ariel"xxyy
xxyy"Hirundo neoxena"xxyy
xxyy"Hydrobates matsudairae"xxyy
xxyy"Hydroprogne caspia"xxyy
xxyy"Hylacola cautus"xxyy
xxyy"Hylacola pyrrhopygia"xxyy
xxyy"Irediparra gallinacea"xxyy
xxyy"Ixobrychus dubius"xxyy
xxyy"Ixobrychus flavicollis"xxyy
xxyy"Ixobrychus minutus"xxyy
xxyy"Lalage leucomela"xxyy
xxyy"Lalage sueurii"xxyy
xxyy"Lalage tricolor"xxyy
xxyy"Larus dominicanus"xxyy
xxyy"Larus pacificus"xxyy
xxyy"Lathamus discolor"xxyy
xxyy"Leipoa ocellata"xxyy
xxyy"Leucophaeus pipixcan"xxyy
xxyy"Leucosarcia melanoleuca"xxyy
xxyy"Lewinia pectoralis"xxyy
xxyy"Lichenostomus chrysops"xxyy
xxyy"Lichenostomus cratitius"xxyy
xxyy"Lichenostomus fasciogularis"xxyy
xxyy"Lichenostomus flavescens"xxyy
xxyy"Lichenostomus flavicollis"xxyy
xxyy"Lichenostomus flavus"xxyy
xxyy"Lichenostomus frenatus"xxyy
xxyy"Lichenostomus fuscus"xxyy
xxyy"Lichenostomus hindwoodi"xxyy
xxyy"Lichenostomus keartlandi"xxyy
xxyy"Lichenostomus leucotis"xxyy
xxyy"Lichenostomus melanops"xxyy
xxyy"Lichenostomus ornatus"xxyy
xxyy"Lichenostomus penicillatus"xxyy
xxyy"Lichenostomus plumulus"xxyy
xxyy"Lichenostomus unicolor"xxyy
xxyy"Lichenostomus versicolor"xxyy
xxyy"Lichenostomus virescens"xxyy
xxyy"Lichmera indistincta"xxyy
xxyy"Limicola falcinellus"xxyy
xxyy"Limnodromus semipalmatus"xxyy
xxyy"Limosa lapponica"xxyy
xxyy"Limosa limosa"xxyy
xxyy"Lonchura castaneothorax"xxyy
xxyy"Lonchura flaviprymna"xxyy
xxyy"Lonchura punctulata"xxyy
xxyy"Lophochroa leadbeateri"xxyy
xxyy"Lophoictinia isura"xxyy
xxyy"Lopholaimus antarcticus"xxyy
xxyy"Lugensa brevirostris"xxyy
xxyy"Machaerirhynchus flaviventer"xxyy
xxyy"Macronectes giganteus"xxyy
xxyy"Macronectes halli"xxyy
xxyy"Macropygia amboinensis"xxyy
xxyy"Malacorhynchus membranaceus"xxyy
xxyy"Malurus amabilis"xxyy
xxyy"Malurus coronatus"xxyy
xxyy"Malurus cyaneus"xxyy
xxyy"Malurus elegans"xxyy
xxyy"Malurus lamberti"xxyy
xxyy"Malurus leucopterus"xxyy
xxyy"Malurus melanocephalus"xxyy
xxyy"Malurus pulcherrimus"xxyy
xxyy"Malurus splendens"xxyy
xxyy"Manorina flavigula"xxyy
xxyy"Manorina melanocephala"xxyy
xxyy"Manorina melanophrys"xxyy
xxyy"Manorina melanotis"xxyy
xxyy"Megalurus gramineus"xxyy
xxyy"Megalurus timoriensis"xxyy
xxyy"Megapodius reinwardt"xxyy
xxyy"Melanodryas cucullata"xxyy
xxyy"Melanodryas vittata"xxyy
xxyy"Meleagris gallopavo"xxyy
xxyy"Meliphaga albilineata"xxyy
xxyy"Meliphaga fordiana"xxyy
xxyy"Meliphaga gracilis"xxyy
xxyy"Meliphaga lewinii"xxyy
xxyy"Meliphaga notata"xxyy
xxyy"Melithreptus affinis"xxyy
xxyy"Melithreptus albogularis"xxyy
xxyy"Melithreptus brevirostris"xxyy
xxyy"Melithreptus gularis"xxyy
xxyy"Melithreptus lunatus"xxyy
xxyy"Melithreptus validirostris"xxyy
xxyy"Melopsittacus undulatus"xxyy
xxyy"Menura alberti"xxyy
xxyy"Menura novaehollandiae"xxyy
xxyy"Merops ornatus"xxyy
xxyy"Microcarbo melanoleucos"xxyy
xxyy"Microeca fascinans"xxyy
xxyy"Microeca flavigaster"xxyy
xxyy"Microeca griseoceps"xxyy
xxyy"Milvus migrans"xxyy
xxyy"Mirafra javanica"xxyy
xxyy"Monarcha frater"xxyy
xxyy"Monarcha melanopsis"xxyy
xxyy"Morus serrator"xxyy
xxyy"Motacilla cinerea"xxyy
xxyy"Motacilla tschutschensis"xxyy
xxyy"Myiagra alecto"xxyy
xxyy"Myiagra cyanoleuca"xxyy
xxyy"Myiagra inquieta"xxyy
xxyy"Myiagra rubecula"xxyy
xxyy"Myiagra ruficollis"xxyy
xxyy"Myzomela erythrocephala"xxyy
xxyy"Myzomela obscura"xxyy
xxyy"Myzomela sanguinolenta"xxyy
xxyy"Nectarinia jugularis"xxyy
xxyy"Neochmia modesta"xxyy
xxyy"Neochmia phaeton"xxyy
xxyy"Neochmia ruficauda"xxyy
xxyy"Neochmia temporalis"xxyy
xxyy"Neophema chrysogaster"xxyy
xxyy"Neophema chrysostoma"xxyy
xxyy"Neophema elegans"xxyy
xxyy"Neophema petrophila"xxyy
xxyy"Neophema pulchella"xxyy
xxyy"Neophema splendida"xxyy
xxyy"Neopsephotus bourkii"xxyy
xxyy"Nettapus coromandelianus"xxyy
xxyy"Nettapus pulchellus"xxyy
xxyy"Ninox connivens"xxyy
xxyy"Ninox novaeseelandiae"xxyy
xxyy"Ninox rufa"xxyy
xxyy"Ninox strenua"xxyy
xxyy"Northiella haematogaster"xxyy
xxyy"Numenius madagascariensis"xxyy
xxyy"Numenius minutus"xxyy
xxyy"Numenius phaeopus"xxyy
xxyy"Numida meleagris"xxyy
xxyy"Nycticorax caledonicus"xxyy
xxyy"Nymphicus hollandicus"xxyy
xxyy"Oceanites oceanicus"xxyy
xxyy"Ocyphaps lophotes"xxyy
xxyy"Onychoprion anaethetus"xxyy
xxyy"Onychoprion fuscata"xxyy
xxyy"Oreoica gutturalis"xxyy
xxyy"Oreoscopus gutturalis"xxyy
xxyy"Origma solitaria"xxyy
xxyy"Oriolus flavocinctus"xxyy
xxyy"Oriolus sagittatus"xxyy
xxyy"Orthonyx spaldingii"xxyy
xxyy"Orthonyx temminckii"xxyy
xxyy"Oxyura australis"xxyy
xxyy"Pachycephala griseiceps"xxyy
xxyy"Pachycephala inornata"xxyy
xxyy"Pachycephala lanioides"xxyy
xxyy"Pachycephala melanura"xxyy
xxyy"Pachycephala olivacea"xxyy
xxyy"Pachycephala pectoralis"xxyy
xxyy"Pachycephala rufiventris"xxyy
xxyy"Pachycephala rufogularis"xxyy
xxyy"Pachycephala simplex"xxyy
xxyy"Pachyptila belcheri"xxyy
xxyy"Pachyptila desolata"xxyy
xxyy"Pachyptila salvini"xxyy
xxyy"Pachyptila turtur"xxyy
xxyy"Pachyptila vittata"xxyy
xxyy"Pandion cristatus"xxyy
xxyy"Pandion haliaetus"xxyy
xxyy"Pardalotus punctatus"xxyy
xxyy"Pardalotus quadragintus"xxyy
xxyy"Pardalotus rubricatus"xxyy
xxyy"Pardalotus striatus"xxyy
xxyy"Passer domesticus"xxyy
xxyy"Passer montanus"xxyy
xxyy"Pavo cristatus"xxyy
xxyy"Pedionomus torquatus"xxyy
xxyy"Pelagodroma marina"xxyy
xxyy"Pelecanoides urinatrix"xxyy
xxyy"Pelecanus conspicillatus"xxyy
xxyy"Peltohyas australis"xxyy
xxyy"Peneoenanthe pulverulenta"xxyy
xxyy"Petrochelidon ariel"xxyy
xxyy"Petrochelidon nigricans"xxyy
xxyy"Petroica boodang"xxyy
xxyy"Petroica goodenovii"xxyy
xxyy"Petroica multicolor"xxyy
xxyy"Petroica phoenicea"xxyy
xxyy"Petroica rodinogaster"xxyy
xxyy"Petroica rosea"xxyy
xxyy"Petrophassa albipennis"xxyy
xxyy"Petrophassa rufipennis"xxyy
xxyy"Pezoporus occidentalis"xxyy
xxyy"Pezoporus wallicus"xxyy
xxyy"Phaethon lepturus"xxyy
xxyy"Phaethon rubricauda"xxyy
xxyy"Phalacrocorax carbo"xxyy
xxyy"Phalacrocorax fuscescens"xxyy
xxyy"Phalacrocorax sulcirostris"xxyy
xxyy"Phalacrocorax varius"xxyy
